Column1,Column2,Column3
477,950,995
590,675,256
815,672,903
268,788,471
186,172,563
320,102,428
653,319,956
780,513,935
433,140,36
939,960,740
104,294,42
52,247,573
66,985,456
264,517,791
313,48,51
852,112,636
385,778,61
898,699,450
208,978,303
491,395,231
417,152,2
290,113,415
863,163,2
112,509,275
490,30,334
411,432,552
781,468,842
530,261,230
323,598,243
915,480,864
684,334,229
744,331,247
931,483,49
495,461,864
712,192,151
604,48,320
139,21,919
90,10,933
189,817,32
154,111,707
621,476,242
89,570,231
591,688,850
494,5,281
854,534,620
458,163,897
773,996,856
292,255,249
919,557,455
969,604,910
985,80,362
735,814,149
319,549,800
113,601,297
217,516,415
636,318,824
79,862,30
736,347,384
20,703,166
660,726,846
709,302,739
826,318,125
891,148,594
237,127,777
144,671,694
61,173,795
508,122,992
265,5,925
17,554,994
578,585,389
127,573,898
92,881,416
537,166,622
183,274,722
51,448,595
133,295,344
664,977,837
190,19,52
596,157,232
848,874,840
254,620,611
186,554,526
397,752,678
533,726,764
567,268,759
718,984,150
420,925,515
943,13,36
797,359,521
429,408,940
95,773,890
658,396,161
683,469,150
360,962,266
179,682,200
920,859,984
913,244,213
343,470,880
734,645,879
646,380,414
518,89,742
653,732,534
783,950,570
445,105,779
904,700,866
862,799,503
100,4,205
432,744,456
24,211,980
989,378,805
720,932,888
629,395,627
320,349,609
572,581,385
410,11,602
576,936,505
468,68,197
339,378,363
395,769,132
333,163,308
685,47,340
24,955,728
244,199,99
473,754,585
882,344,279
479,203,976
186,479,523
58,469,455
260,128,46
9,482,90
960,245,653
674,496,884
111,235,253
136,295,313
765,302,877
773,902,106
985,614,983
355,953,589
72,411,138
942,305,223
553,426,97
817,846,743
617,403,543
521,166,82
254,455,161
107,852,375
585,525,736
740,297,848
372,836,405
111,761,31
773,44,207
604,942,409
121,233,897
727,101,385
265,178,847
618,180,651
414,62,450
186,246,879
711,135,852
575,875,748
340,535,531
720,249,334
245,297,162
37,941,75
888,4,778
329,518,283
491,452,530
394,537,826
435,362,132
360,126,183
953,90,483
835,954,147
164,373,555
960,208,165
254,875,31
381,119,158
917,2,322
916,609,72
466,971,401
529,532,661
188,840,989
143,819,817
742,371,469
840,153,829
921,682,342
560,51,932
343,58,795
658,623,55
751,638,794
828,212,211
924,532,438
288,640,754
3,553,994
281,281,879
63,398,459
798,130,435
153,788,633
497,393,154
922,648,320
414,727,720
462,303,660
659,600,73
473,614,951
526,343,556
178,91,679
987,847,584
41,988,450
290,893,747
750,278,992
453,532,751
660,173,303
362,948,715
367,735,739
395,404,895
562,150,720
590,509,726
908,331,420
190,648,403
343,697,409
465,441,259
126,828,92
325,668,132
656,734,663
306,20,888
327,806,198
163,779,940
861,752,247
914,668,173
130,872,276
766,139,281
284,282,675
915,911,742
203,961,543
546,702,770
953,583,611
746,256,308
626,65,321
718,977,520
400,441,686
545,24,540
401,701,876
963,611,363
444,177,936
848,854,329
323,857,545
705,490,443
633,813,335
810,245,403
913,955,924
317,844,937
979,21,745
997,765,234
763,106,481
627,457,700
241,607,645
634,290,306
258,462,586
363,410,287
219,658,817
291,861,571
168,366,8
40,337,455
798,135,840
235,139,700
775,605,116
116,391,451
999,287,193
946,154,27
423,402,620
878,933,290
981,633,70
939,138,589
791,250,271
477,885,224
664,453,112
711,833,576
177,156,424
507,553,244
501,296,687
797,653,2
993,24,1000
32,517,106
96,684,728
119,977,321
319,297,462
178,425,210
52,369,673
764,354,324
788,682,833
907,822,937
417,395,322
236,749,715
802,168,492
222,894,268
144,570,880
916,97,326
154,308,534
281,68,511
53,227,1
87,437,851
775,99,35
339,653,747
824,343,169
27,147,66
861,269,824
554,539,455
820,44,93
424,395,546
738,588,258
328,753,202
505,539,751
715,465,310
368,412,220
626,209,649
752,962,119
760,86,338
177,163,176
44,824,62
399,700,991
854,138,988
654,180,449
918,393,184
876,953,976
956,873,455
193,618,221
474,657,947
290,252,735
7,567,746
551,384,829
372,711,465
27,531,50
931,602,373
487,620,261
289,419,259
758,104,827
349,562,158
386,755,271
133,522,163
315,451,565
640,677,845
67,363,2
10,213,599
895,774,647
779,172,840
891,96,470
831,477,841
936,475,60
341,216,475
586,464,196
302,680,27
215,893,100
415,207,105
423,522,177
78,135,652
861,181,321
344,361,245
56,526,358
343,265,930
611,419,206
802,889,33
930,700,100
754,108,51
116,460,620
408,122,200
853,963,755
104,820,692
527,144,997
443,45,210
402,63,324
469,949,87
577,916,807
925,171,802
979,327,499
531,494,290
971,957,381
806,398,795
585,471,129
655,322,217
194,982,104
799,867,32
590,578,359
667,409,440
432,801,634
380,927,803
933,731,392
773,330,271
452,970,568
384,462,292
659,351,555
370,321,971
346,71,379
533,95,306
167,501,724
969,390,864
215,781,563
759,756,533
258,527,827
971,928,182
598,105,669
993,53,657
946,848,393
104,924,922
579,979,5
617,39,936
681,914,563
84,27,336
744,152,853
240,497,204
466,453,6
568,787,937
331,881,879
989,374,851
566,59,271
673,161,435
775,150,497
215,537,241
966,77,964
792,856,852
188,932,595
963,879,580
375,118,102
390,811,506
482,245,565
639,983,730
608,911,425
935,370,128
418,129,119
882,795,222
838,69,285
707,304,731
875,67,24
941,521,507
464,434,691
580,164,627
669,114,377
791,619,137
41,582,462
962,523,932
215,448,140
575,189,493
345,186,97
513,948,199
405,225,809
415,975,246
81,583,652
991,872,885
635,360,430
134,432,365
36,205,535
370,994,479
959,661,41
204,706,546
302,523,903
389,46,311
936,762,838
912,118,283
60,5,835
937,156,723
535,70,916
872,568,708
398,793,446
990,64,173
969,289,311
792,190,514
287,198,965
200,95,674
868,128,708
541,831,127
976,620,843
362,944,627
127,923,796
301,546,389
544,966,899
216,972,438
705,765,483
457,457,863
387,280,362
195,392,115
90,724,78
569,780,725
447,194,931
836,613,87
36,316,158
861,206,283
976,819,219
384,516,665
937,872,978
41,237,564
50,356,154
933,64,149
196,149,569
365,913,261
538,661,626
797,202,508
801,864,618
652,865,625
949,128,348
113,91,472
226,408,438
621,946,850
379,326,771
124,541,424
183,617,321
186,654,175
673,163,435
808,229,768
722,903,169
716,937,764
188,823,108
589,498,532
520,32,509
937,437,277
995,99,487
513,478,922
422,974,67
734,593,241
228,720,638
612,51,598
982,18,470
495,897,283
476,718,61
802,823,720
649,748,782
904,429,457
638,194,857
771,632,302
348,435,663
779,672,930
961,705,371
600,426,630
813,370,506
46,737,490
460,533,216
598,746,350
132,387,199
374,627,114
748,225,895
733,273,564
111,100,957
803,155,283
198,396,292
329,530,190
883,728,761
170,709,837
176,752,358
788,479,803
148,390,274
249,309,383
128,708,551
830,706,150
70,423,482
241,783,582
748,110,816
207,449,440
821,277,241
340,361,182
177,232,468
344,393,720
241,910,752
175,314,184
273,366,131
15,439,701
303,861,370
901,236,540
764,60,931
365,498,629
643,24,868
624,999,472
614,442,890
833,909,505
792,359,461
761,82,711
16,581,478
469,495,492
408,452,569
764,553,643
837,990,109
713,226,197
794,69,848
771,995,668
873,119,890
161,315,129
402,749,269
823,607,629
939,432,345
995,558,615
297,216,170
224,196,747
58,630,950
766,403,60
835,4,682
671,192,740
176,226,812
980,265,922
914,770,141
300,678,1000
815,421,236
961,277,343
965,562,265
6,430,987
433,700,254
776,776,609
772,579,379
738,836,842
214,677,5
572,572,364
995,883,39
209,208,898
519,729,810
768,90,141
396,339,748
157,372,237
189,173,196
565,411,436
480,742,862
527,643,739
691,135,983
165,412,653
404,244,924
72,246,993
730,87,755
970,98,415
469,132,201
174,186,404
464,238,290
193,797,212
908,539,803
637,267,602
275,119,255
276,136,24
944,514,403
930,225,403
847,633,400
256,36,86
162,787,640
434,783,161
211,393,918
615,851,249
849,73,228
524,51,859
868,542,306
99,619,538
760,603,129
122,781,160
939,106,729
976,442,57
877,188,528
985,745,47
821,162,750
621,288,424
118,987,239
309,503,673
506,506,583
858,396,833
787,962,914
799,247,775
737,290,678
253,524,797
189,337,796
454,961,8
722,815,918
157,985,393
353,356,639
660,474,72
987,223,94
598,413,616
876,98,285
517,788,601
383,611,980
481,884,780
302,250,771
208,337,236
607,295,659
935,830,948
25,456,221
918,712,321
564,606,496
475,56,453
349,819,866
751,31,842
397,417,946
868,51,360
750,539,258
525,867,224
747,735,886
298,216,548
532,410,780
800,246,796
231,408,28
341,959,443
711,108,636
372,744,929
532,103,477
124,450,62
641,311,202
18,889,838
812,59,350
972,579,129
142,264,973
170,903,679
922,827,333
828,170,291
212,134,91
188,121,381
72,62,990
88,75,31
133,528,828
735,581,86
775,38,631
410,883,308
639,440,523
939,713,415
448,705,347
168,468,69
170,421,797
782,261,422
154,756,247
800,843,690
331,953,687
646,857,882
78,882,766
207,308,753
217,453,689
651,910,112
296,985,569
249,290,340
555,285,622
446,611,156
624,925,136
328,694,618
675,560,683
610,75,752
447,52,410
436,87,997
223,331,441
833,743,771
238,846,830
464,546,38
761,961,473
541,500,83
620,722,928
930,492,959
529,643,602
999,738,121
72,410,516
669,482,515
922,335,494
558,469,969
963,514,451
589,181,426
217,145,96
588,1,647
432,367,770
539,734,710
33,216,570
976,155,106
942,967,168
402,627,196
327,396,642
309,413,290
760,154,231
250,906,945
501,157,757
493,850,360
999,808,224
726,287,350
251,683,263
639,583,751
994,9,991
110,527,341
640,722,860
402,933,323
204,380,529
669,833,225
304,939,440
242,986,449
986,920,907
582,799,961
270,38,321
637,548,81
561,175,506
576,637,413
409,679,750
808,334,425
331,528,128
431,189,533
851,986,447
57,228,105
760,985,554
177,22,977
317,113,178
256,656,892
276,688,65
11,55,924
582,806,22
23,849,103
156,519,607
229,445,675
443,383,72
452,803,627
894,127,12
549,179,594
904,338,550
682,151,898
203,809,660
141,725,197
600,960,954
872,495,560
301,921,478
772,360,741
225,734,46
105,353,483
712,360,19
326,440,544
645,248,611
632,777,523
811,222,712
46,103,865
476,621,604
695,246,179
43,865,224
576,455,163
414,84,177
140,825,568
926,436,202
609,930,533
18,304,925
519,952,510
13,874,764
716,971,197
906,233,971
192,551,790
79,67,850
61,614,939
615,482,418
639,572,502
154,663,740
709,76,703
730,184,849
524,473,723
510,545,313
928,970,131
734,24,369
970,175,377
220,729,464
594,943,522
735,98,216
947,860,657
379,200,852
786,242,590
619,478,927
125,258,96
693,645,988
543,151,451
89,671,675
858,340,311
72,416,476
755,754,141
286,512,336
26,846,732
521,318,843
36,447,801
953,252,651
190,116,354
886,690,490
283,142,271
153,188,688
133,48,543
287,455,140
210,442,691
415,542,522
269,280,426
33,686,615
307,374,329
652,760,109
414,14,453
249,336,457
324,395,765
811,6,378
847,531,206
594,145,22
633,516,757
345,855,422
739,101,98
783,834,943
325,23,980
602,248,764
904,285,770
788,502,633
270,930,984
982,738,43
367,445,960
547,537,147
794,337,92
988,191,17
78,453,103
843,513,324
4,480,152
979,292,475
19,131,208
52,726,946
986,266,789
505,46,91
548,424,9
931,731,503
987,972,974
259,881,505
727,860,164
449,129,280
414,856,863
390,330,531
912,977,227
187,707,302
200,32,404
392,564,201
715,681,463
182,507,675
373,264,507
356,401,349
304,717,461
467,654,362
102,853,56
572,266,214
42,901,430
343,742,39
565,495,554
124,953,239
679,748,344
131,297,807
907,937,227
607,152,711
416,714,686
993,489,342
527,163,112
520,826,534
782,178,450
614,348,15
74,928,606
265,259,40
945,109,760
241,336,274
825,33,353
280,273,193
913,379,419
386,981,340
342,328,327
90,605,26
226,203,292
757,600,991
352,929,45
505,799,532
934,315,34
774,69,765
734,845,479
896,170,435
122,767,715
807,765,309
69,930,493
95,928,995
446,771,37
94,277,657
134,35,669
771,740,800
803,603,520
857,349,98
752,276,979
415,852,43
660,449,463
266,972,393
851,426,49
880,186,271
862,894,917
426,757,328
741,503,52
418,468,258
375,503,50
152,767,352
609,566,552
414,484,824
966,257,670
970,8,785
497,968,579
839,167,143
927,527,559
170,227,819
304,585,317
264,167,930
941,116,354
564,384,722
261,59,337
598,181,816
13,68,509
513,295,259
70,663,380
119,400,938
262,895,259
186,261,324
121,588,334
719,491,443
471,157,713
105,722,1000
764,456,315
873,258,483
771,923,921
88,899,115
585,930,655
948,345,315
327,356,683
453,738,417
308,191,552
899,859,254
478,706,613
68,592,39
117,654,103
340,589,656
446,95,800
950,889,749
403,877,489
137,851,321
939,369,870
538,468,297
836,61,469
369,544,255
665,386,189
197,697,262
308,627,330
389,245,346
693,534,998
772,17,379
290,588,266
967,300,522
123,910,912
794,352,59
711,430,991
699,539,987
801,459,19
93,444,563
31,127,705
752,30,508
81,724,835
870,599,629
927,613,447
755,591,843
525,870,45
37,100,557
709,217,156
861,751,649
489,421,21
189,897,340
705,704,310
205,692,94
495,889,712
765,84,200
276,293,195
973,165,709
587,611,215
308,607,300
695,40,73
729,617,44
900,5,956
730,989,949
314,757,211
472,241,487
873,437,93
325,787,522
561,432,293
599,634,899
618,996,827
79,393,385
4,181,763
353,148,288
275,175,102
765,825,497
616,920,843
33,953,67
27,404,746
81,293,263
398,987,332
209,123,199
134,574,421
498,833,581
156,377,313
827,308,139
737,429,96
690,211,869
833,370,556
568,654,70
325,171,698
70,517,728
949,289,8
724,2,67
991,863,708
836,76,89
301,24,889
57,545,854
735,235,471
549,768,427
286,796,887
489,29,501
890,990,402
151,573,831
946,52,291
478,99,887
113,666,919
686,764,264
828,419,62
367,350,522
265,463,428
327,697,306
766,251,865
366,41,150
807,873,212
603,575,134
452,694,968
848,98,238
437,151,571
9,114,48
296,763,178
988,270,45
336,749,107
72,850,593
344,757,845
360,562,11
307,596,198
992,972,258
397,190,504
124,391,556
612,597,222
793,692,754
468,893,390
806,204,248
527,556,747
298,873,330
535,932,540
682,909,975
500,417,197
538,919,488
349,108,390
237,977,528
137,68,851
932,764,124
99,198,752
766,838,97
154,901,929
726,107,69
56,692,846
632,263,758
60,829,892
719,880,587
469,323,922
698,191,957
60,588,191
665,413,438
672,757,381
998,499,161
7,203,692
540,338,482
839,572,59
50,483,405
851,583,757
586,346,658
622,721,190
642,286,791
799,625,947
538,26,607
778,102,105
274,845,528
977,873,555
680,332,91
399,593,183
222,15,735
900,828,380
594,961,592
296,339,728
447,838,865
36,724,370
520,265,369
331,51,783
144,376,194
161,374,919
945,382,506
986,235,945
106,226,339
38,816,856
384,837,773
802,803,574
111,924,609
902,960,188
403,193,51
967,924,932
884,649,523
992,553,643
212,747,820
679,499,198
34,628,684
773,951,498
830,717,278
846,54,599
941,659,938
57,533,781
643,881,463
683,420,873
120,255,97
703,233,318
837,361,146
21,227,915
549,995,216
352,164,399
564,809,369
772,627,292
913,435,151
963,914,50
903,948,830
255,632,539
621,617,640
515,691,527
17,36,959
910,586,175
782,144,378
330,13,808
510,317,508
1,437,520
340,831,250
138,528,888
376,47,970
445,173,616
320,938,294
551,544,243
500,110,644
759,951,326
286,549,693
993,26,239
263,256,464
873,31,816
618,616,679
116,747,249
517,677,604
324,397,477
42,727,100
459,655,81
996,378,16
659,558,641
752,476,827
371,546,159
620,262,697
802,859,930
123,138,927
381,27,287
837,355,77
723,195,353
4,602,446
868,335,205
166,201,452
88,403,855
768,638,894
781,653,864
125,819,296
734,914,497
89,371,407
937,943,569
951,437,412
837,668,523
457,706,754
491,32,102
145,463,615
804,233,787
667,52,352
303,887,922
820,529,493
312,773,87
272,136,495
300,198,377
861,559,824
914,903,352
878,910,960
352,229,585
932,901,572
150,423,715
561,346,343
60,289,670
242,994,83
589,497,834
888,544,631
699,521,185
429,242,465
616,210,250
823,378,199
714,717,827
760,992,575
287,863,265
292,829,882
340,730,923
799,5,665
170,847,68
994,178,421
235,814,394
745,68,453
912,927,209
395,410,566
538,106,763
226,315,841
690,397,913
395,566,246
184,492,564
806,391,896
608,71,740
575,390,468
302,615,567
448,286,399
498,472,310
582,227,501
122,473,784
818,695,746
66,342,655
801,583,854
274,154,87
583,666,286
784,740,361
239,743,672
171,256,486
512,166,949
389,382,61
876,236,987
497,875,180
166,802,820
544,33,944
394,936,871
852,689,674
533,25,388
731,813,560
710,22,469
508,893,312
230,353,171
559,643,802
972,74,248
301,250,828
140,30,861
962,227,333
504,526,991
405,13,423
557,517,513
923,808,252
356,668,411
429,168,255
741,843,785
308,137,160
394,518,893
899,3,708
299,198,556
34,335,553
273,594,461
800,182,58
530,257,707
94,576,990
94,302,845
534,175,214
765,861,361
474,783,177
207,775,187
771,498,991
33,946,226
36,725,533
838,109,81
568,883,406
798,907,870
509,699,526
675,568,526
437,653,752
920,614,101
588,316,27
73,592,945
506,446,89
676,56,842
817,992,285
162,300,800
219,888,155
49,220,755
603,355,657
649,555,515
102,260,528
136,476,117
788,104,93
638,221,352
315,217,762
692,239,687
714,540,579
935,454,386
540,836,710
76,460,740
224,989,809
847,82,580
528,627,851
354,534,680
754,771,337
999,10,493
609,62,452
596,608,120
278,245,640
329,572,732
798,184,904
166,22,45
202,874,208
694,419,40
445,29,477
559,522,283
767,597,255
435,109,924
754,288,675
680,610,55
879,956,975
981,929,740
57,466,246
220,831,813
523,737,130
222,861,452
547,463,203
827,759,684
354,644,954
650,495,271
523,372,612
46,191,787
381,433,544
439,759,246
759,210,371
588,886,233
588,65,76
768,719,377
623,381,278
432,312,816
412,321,537
759,274,940
464,661,958
432,200,748
7,458,980
415,685,526
215,318,524
105,415,415
835,124,843
411,652,557
300,931,225
37,751,622
891,458,17
21,434,250
923,119,881
217,120,275
145,402,331
530,538,1
125,162,195
94,315,550
309,330,470
549,331,222
410,25,493
942,398,109
708,127,194
147,884,982
570,618,646
611,545,987
734,89,392
975,404,205
869,624,563
421,125,384
438,932,308
150,428,998
483,380,667
649,300,968
593,58,408
923,394,568
613,705,873
150,517,534
153,674,119
457,331,155
823,245,256
855,878,35
278,709,779
1000,555,8
874,162,121
675,604,60
170,590,256
685,412,589
475,366,343
698,515,595
578,208,914
564,719,882
925,667,788
472,738,322
712,86,915
245,657,12
156,987,834
223,131,815
991,169,664
284,745,419
126,325,539
799,22,958
650,876,931
154,94,777
188,148,469
914,796,518
197,337,689
158,525,12
326,248,682
915,147,798
656,970,912
101,744,593
114,258,927
543,339,321
838,284,159
574,993,184
256,470,200
651,254,129
262,931,935
506,401,820
195,654,681
711,218,717
612,876,175
614,830,279
744,100,719
607,193,67
746,242,498
61,964,549
932,161,206
611,605,791
929,822,141
310,914,549
868,564,50
473,825,656
133,211,855
980,753,99
620,830,641
595,468,245
281,746,70
85,397,775
658,590,535
111,332,80
759,751,259
293,318,890
489,763,449
699,529,279
877,709,770
949,249,92
583,327,436
235,399,394
351,743,593
475,113,571
176,315,415
142,390,267
850,860,5
603,641,378
470,790,378
65,373,254
383,231,150
986,129,707
718,618,912
5,302,185
577,636,898
380,236,925
673,765,445
448,390,750
211,976,176
461,315,643
681,919,790
249,207,887
488,98,825
649,26,783
608,615,865
496,462,618
198,152,844
216,505,270
231,598,803
442,139,245
165,883,320
374,72,447
914,410,652
182,143,732
66,449,317
17,532,965
70,816,540
724,97,870
12,907,658
338,8,611
88,609,774
268,239,222
225,114,250
660,303,781
820,761,540
317,930,206
465,454,746
547,800,920
391,875,170
917,178,851
391,965,130
466,902,48
266,84,322
391,619,258
159,170,939
954,222,196
55,960,707
761,291,641
60,677,580
332,711,647
439,187,24
938,282,302
682,256,376
712,596,657
5,452,476
633,152,160
763,674,812
271,998,273
651,163,919
333,803,332
791,455,63
191,684,194
276,542,254
129,625,689
734,944,125
427,234,902
540,99,693
43,275,722
507,762,572
844,563,57
72,777,39
377,17,304
596,174,467
997,71,64
272,828,406
640,34,736
68,712,148
859,297,184
337,1,166
599,301,354
808,124,396
187,483,332
47,71,853
57,783,917
466,313,777
983,121,965
944,143,55
715,78,601
65,691,232
97,67,189
541,77,803
605,298,987
659,672,174
711,560,985
478,679,342
41,128,868
739,365,698
5,38,508
625,938,760
258,816,492
827,174,27
58,991,81
940,728,147
865,145,144
576,289,291
196,608,27
246,554,487
700,217,648
760,389,257
556,579,95
566,155,569
932,538,762
310,923,813
917,742,650
526,929,849
417,86,4
234,63,212
110,982,96
627,352,175
702,971,791
976,591,674
147,853,748
255,355,611
13,818,281
75,331,836
275,540,812
34,760,289
696,189,140
789,808,982
678,466,195
296,649,347
484,169,440
238,113,132
519,367,100
515,165,16
133,449,955
242,285,243
356,718,323
658,899,947
563,714,920
787,300,133
115,883,557
297,346,282
802,613,880
302,473,122
972,512,554
414,271,949
489,675,38
276,805,88
102,810,309
274,566,195
43,5,80
159,697,298
72,15,478
841,339,64
229,500,189
979,764,345
952,326,141
939,960,313
595,174,642
691,710,569
705,556,820
180,484,417
534,143,324
955,106,636
665,475,34
35,276,103
95,161,191
839,639,31
629,137,422
39,91,133
434,464,353
621,721,729
580,546,492
238,487,11
967,371,757
957,497,862
480,133,27
136,943,476
320,447,256
871,1000,85
719,336,48
923,62,206
26,472,600
321,72,117
934,806,937
531,547,786
617,437,292
486,64,193
738,869,102
97,86,792
312,327,13
973,435,798
708,142,802
551,605,201
847,932,407
93,849,888
507,580,224
68,945,483
275,694,27
80,243,451
367,188,352
334,525,563
884,807,293
903,521,188
341,742,822
375,158,192
104,699,503
452,672,829
796,138,590
883,774,330
393,891,33
526,117,895
39,24,329
201,496,300
357,565,561
935,481,565
678,175,667
862,319,179
347,276,586
864,597,126
315,690,331
587,695,330
648,399,136
373,442,3
893,528,37
868,856,13
164,364,508
726,425,612
11,659,916
527,455,298
955,34,287
139,867,483
923,666,557
518,203,563
686,966,549
939,945,523
440,143,269
880,139,398
699,241,975
650,29,248
741,864,927
852,75,730
111,77,692
479,648,852
69,528,835
441,524,498
908,50,878
817,813,413
516,369,252
876,506,724
101,789,659
998,134,541
512,539,55
474,300,618
233,436,621
65,787,716
58,65,851
284,861,500
343,274,660
110,403,346
155,353,529
678,87,873
879,692,925
428,822,728
563,180,558
902,985,449
248,748,76
152,562,991
329,444,323
441,8,595
597,316,265
762,188,48
41,882,365
102,879,149
337,21,680
700,757,264
329,939,822
38,692,813
560,640,1
31,36,159
991,635,783
296,938,199
903,31,21
79,792,258
452,472,790
349,7,387
289,731,752
92,794,71
620,390,302
484,311,794
967,816,440
504,448,794
553,469,410
376,553,689
433,807,827
430,910,174
933,295,565
284,443,341
706,82,839
904,563,548
700,200,750
219,677,306
747,792,209
618,499,295
589,993,3
